  ΗΜΕΡΑ-ΩΡΑ ΕΚΤΕΛΕΣΗΣ : 24/06/2025 13:43:59
PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;TIMESTAMP;ΕΝΕΡΓΕΙΑ (kWh)
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 01:15;119.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 01:30;118.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 01:45;119
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 02:00;118.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 02:15;118.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 02:30;118
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 02:45;118.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 03:00;118.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 03:15;118.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 03:30;118
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 03:45;118.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 04:00;118.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 04:15;118.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 04:30;119.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 04:45;119.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 05:00;119.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 05:15;119.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 05:30;119.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 05:45;121.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 06:00;119.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 06:15;120
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 06:30;120.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 06:45;121
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 07:00;121
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 07:15;121.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 07:30;121.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 07:45;121.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 08:00;121.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 08:15;122
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 08:30;122
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 08:45;122.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 09:00;122.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 09:15;122
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 09:30;122.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 09:45;122.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 10:00;122.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 10:15;122.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 10:30;123
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 10:45;122.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 11:00;122.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 11:15;122.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 11:30;121.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 11:45;120
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 12:00;115.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 12:15;110
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 12:30;106.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 12:45;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 13:00;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 13:15;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 13:30;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 13:45;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 14:00;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 14:15;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 14:30;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 14:45;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 15:00;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 15:15;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 15:30;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 15:45;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 16:00;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 16:15;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 16:30;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 16:45;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 17:00;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 17:15;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 17:30;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 17:45;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 18:00;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 18:15;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 18:30;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 18:45;39.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 19:00;109.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 19:15;103.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 19:30;108.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 19:45;117
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 20:00;120.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;03/05/2025 20:15;122
