"The day ahead auction data provided in the download is for private and internal use only. The utilization of any data, whether in its raw or derived form, for external or commercial purposes is expressly prohibited. Should you require licensing for market-related data, please direct your inquiries to the original data providers, including but not limited to EPEX SPOT SE and Nord Pool AS.",,,
Date (GMT+2),Non-Renewable,Renewable,Day Ahead Auction (GR)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-01T00:00+02:00,4266,778,117.75
2025-01-01T01:00+02:00,3589,706,138.7
2025-01-01T02:00+02:00,3348,615,134.06
2025-01-01T03:00+02:00,3258,655,124.42
2025-01-01T04:00+02:00,2671,631,118.6
2025-01-01T05:00+02:00,2422,678,112.38
2025-01-01T06:00+02:00,2498,700,108
2025-01-01T07:00+02:00,2094,1258,107.99
2025-01-01T08:00+02:00,1751,1993,96.63
2025-01-01T09:00+02:00,1180,3636,29.22
2025-01-01T10:00+02:00,942,4845,41.43
2025-01-01T11:00+02:00,947,5566,28.98
2025-01-01T12:00+02:00,1029,5767,32.8
2025-01-01T13:00+02:00,1146,5497,36.56
2025-01-01T14:00+02:00,1121,4746,53.17
2025-01-01T15:00+02:00,2031,3143,66.8
2025-01-01T16:00+02:00,2904,1242,90.51
2025-01-01T17:00+02:00,3790,899,120.79
2025-01-01T18:00+02:00,3842,925,145.37
2025-01-01T19:00+02:00,3867,926,142.1
2025-01-01T20:00+02:00,3978,945,149.55
2025-01-01T21:00+02:00,3920,778,139.62
2025-01-01T22:00+02:00,4175,535,131.4
2025-01-01T23:00+02:00,3856,390,118.02
2025-01-02T00:00+02:00,3439,375,116.67
2025-01-02T01:00+02:00,3301,228,118.84
2025-01-02T02:00+02:00,3052,185,126.09
2025-01-02T03:00+02:00,2723,202,117.47
2025-01-02T04:00+02:00,2432,292,110
2025-01-02T05:00+02:00,2411,406,104.08
2025-01-02T06:00+02:00,2757,420,109.01
2025-01-02T07:00+02:00,3396,792,114.75
2025-01-02T08:00+02:00,3686,1721,139
2025-01-02T09:00+02:00,3516,3402,129.07
2025-01-02T10:00+02:00,3323,4665,122.69
2025-01-02T11:00+02:00,2846,5344,113
2025-01-02T12:00+02:00,2703,5575,102.32
2025-01-02T13:00+02:00,2776,5503,102.96
2025-01-02T14:00+02:00,3234,4811,109
2025-01-02T15:00+02:00,3504,3752,124.51
2025-01-02T16:00+02:00,3603,2123,130.11
2025-01-02T17:00+02:00,4073,1804,159.64
2025-01-02T18:00+02:00,4064,1976,170
2025-01-02T19:00+02:00,3957,2023,159.64
2025-01-02T20:00+02:00,3982,1917,159.64
2025-01-02T21:00+02:00,3932,1837,131.19
2025-01-02T22:00+02:00,3797,1751,123.8
2025-01-02T23:00+02:00,3149,1734,116.81
2025-01-03T00:00+02:00,2897,1746,95.74
2025-01-03T01:00+02:00,1892,1498,117.1
2025-01-03T02:00+02:00,1709,1361,105
2025-01-03T03:00+02:00,1482,1373,97
2025-01-03T04:00+02:00,1284,1388,97
2025-01-03T05:00+02:00,1316,1545,99.78
2025-01-03T06:00+02:00,1610,1519,105
2025-01-03T07:00+02:00,2289,1814,121.98
2025-01-03T08:00+02:00,2640,2526,141.01
2025-01-03T09:00+02:00,2665,4501,141.68
2025-01-03T10:00+02:00,2352,5914,137.29
2025-01-03T11:00+02:00,1922,6458,118.26
2025-01-03T12:00+02:00,1764,6756,102.42
2025-01-03T13:00+02:00,1963,6534,101.82
2025-01-03T14:00+02:00,2393,5683,109.12
2025-01-03T15:00+02:00,2723,4713,117
2025-01-03T16:00+02:00,3192,3391,132.2
2025-01-03T17:00+02:00,3700,3153,155.56
2025-01-03T18:00+02:00,3588,3230,152
2025-01-03T19:00+02:00,3601,3138,150
2025-01-03T20:00+02:00,3416,3023,149.66
2025-01-03T21:00+02:00,3521,2926,138.09
2025-01-03T22:00+02:00,3289,2747,122.13
2025-01-03T23:00+02:00,3484,2588,129.58
2025-01-04T00:00+02:00,3480,2474,123.92
2025-01-04T01:00+02:00,1865,2219,110.98
2025-01-04T02:00+02:00,1768,2212,120
2025-01-04T03:00+02:00,1582,2260,111.97
2025-01-04T04:00+02:00,1559,2135,105.4
2025-01-04T05:00+02:00,1616,1925,111.65
2025-01-04T06:00+02:00,1978,1696,104.52
2025-01-04T07:00+02:00,2305,1681,111.75
2025-01-04T08:00+02:00,3122,1780,128.99
2025-01-04T09:00+02:00,3501,2307,128.39
2025-01-04T10:00+02:00,3179,3497,130.75
2025-01-04T11:00+02:00,3007,4334,130.34
2025-01-04T12:00+02:00,3196,4342,128.29
2025-01-04T13:00+02:00,3619,3846,130.03
2025-01-04T14:00+02:00,4001,3075,129.85
2025-01-04T15:00+02:00,4289,2386,136.4
2025-01-04T16:00+02:00,4632,1665,143.93
2025-01-04T17:00+02:00,4568,1519,191.68
2025-01-04T18:00+02:00,4999,1700,189.26
2025-01-04T19:00+02:00,4955,1751,191
2025-01-04T20:00+02:00,4896,1680,192.33
2025-01-04T21:00+02:00,4763,1541,160.19
2025-01-04T22:00+02:00,4730,1380,153.29
2025-01-04T23:00+02:00,4561,1232,147.08
2025-01-05T00:00+02:00,3737,1124,121.99
2025-01-05T01:00+02:00,3198,886,112.62
2025-01-05T02:00+02:00,2737,829,112
2025-01-05T03:00+02:00,2568,682,101.04
2025-01-05T04:00+02:00,2509,609,99.49
2025-01-05T05:00+02:00,2623,569,99.52
2025-01-05T06:00+02:00,2784,522,99.54
2025-01-05T07:00+02:00,2890,794,92.87
2025-01-05T08:00+02:00,3052,1146,115.86
2025-01-05T09:00+02:00,2848,2301,97.88
2025-01-05T10:00+02:00,2318,3330,99.52
2025-01-05T11:00+02:00,2112,4164,95.51
2025-01-05T12:00+02:00,2014,4623,100.27
2025-01-05T13:00+02:00,2160,4795,96.72
2025-01-05T14:00+02:00,2369,4332,104.49
2025-01-05T15:00+02:00,2928,3157,115.39
2025-01-05T16:00+02:00,3848,1631,141.72
2025-01-05T17:00+02:00,3868,1211,216.4
2025-01-05T18:00+02:00,3756,1535,185.18
2025-01-05T19:00+02:00,3638,1564,165
2025-01-05T20:00+02:00,3608,1434,166
2025-01-05T21:00+02:00,3658,1363,159.98
2025-01-05T22:00+02:00,3474,1283,149.18
2025-01-05T23:00+02:00,3069,1059,123.05
2025-01-06T00:00+02:00,2809,934,116.79
2025-01-06T01:00+02:00,2535,929,107.63
2025-01-06T02:00+02:00,2244,980,118.91
2025-01-06T03:00+02:00,1962,1132,101
2025-01-06T04:00+02:00,1880,1187,99.81
2025-01-06T05:00+02:00,1839,1149,99.85
2025-01-06T06:00+02:00,2016,1159,103.01
2025-01-06T07:00+02:00,2498,1440,129.58
2025-01-06T08:00+02:00,2689,1867,133.52
2025-01-06T09:00+02:00,2681,3040,130.72
2025-01-06T10:00+02:00,2265,3957,113.27
2025-01-06T11:00+02:00,1751,4652,94.88
2025-01-06T12:00+02:00,1806,5034,74.64
2025-01-06T13:00+02:00,1914,5143,80.05
2025-01-06T14:00+02:00,2061,4742,101.12
2025-01-06T15:00+02:00,2884,3538,116.55
2025-01-06T16:00+02:00,3639,2001,138.34
2025-01-06T17:00+02:00,4366,1639,148.33
2025-01-06T18:00+02:00,4461,1823,154.37
2025-01-06T19:00+02:00,4354,1759,155.32
2025-01-06T20:00+02:00,4269,1706,153.3
2025-01-06T21:00+02:00,4287,1749,147.36
2025-01-06T22:00+02:00,4138,1498,122.76
2025-01-06T23:00+02:00,3702,1337,116.9
2025-01-07T00:00+02:00,2887,1284,87.08
2025-01-07T01:00+02:00,2042,1276,97
