Date (GMT+2),Non-Renewable,Renewable,Day Ahead Auction (GR)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2026-01-01T00:00+02:00,4070,2253,101.92
2026-01-01T00:15+02:00,4070,2253,91.3
2026-01-01T00:30+02:00,4070,2253,85.65
2026-01-01T00:45+02:00,4070,2253,80.04
2026-01-01T01:00+02:00,4241,2250,104.05
2026-01-01T01:15+02:00,4241,2250,98.71
2026-01-01T01:30+02:00,4241,2250,97.98
2026-01-01T01:45+02:00,4241,2250,91.66
2026-01-01T02:00+02:00,4146,2093,99.07
2026-01-01T02:15+02:00,4146,2093,97.24
2026-01-01T02:30+02:00,4146,2093,93.14
2026-01-01T02:45+02:00,4146,2093,86.33
2026-01-01T03:00+02:00,3565,2158,97.5
2026-01-01T03:15+02:00,3565,2158,89.43
2026-01-01T03:30+02:00,3565,2158,86.3
2026-01-01T03:45+02:00,3565,2158,79
2026-01-01T04:00+02:00,3023,2230,82.61
2026-01-01T04:15+02:00,3023,2230,77.77
2026-01-01T04:30+02:00,3023,2230,74.94
2026-01-01T04:45+02:00,3023,2230,76.65
2026-01-01T05:00+02:00,2569,2241,69.45
2026-01-01T05:15+02:00,2569,2241,70.32
2026-01-01T05:30+02:00,2569,2241,74.25
2026-01-01T05:45+02:00,2569,2241,74.25
2026-01-01T06:00+02:00,2616,2275,52.34
2026-01-01T06:15+02:00,2616,2275,73.18
2026-01-01T06:30+02:00,2616,2275,75.35
2026-01-01T06:45+02:00,2616,2275,80.21
2026-01-01T07:00+02:00,2350,2364,75.59
2026-01-01T07:15+02:00,2350,2364,80.36
2026-01-01T07:30+02:00,2350,2364,83.01
2026-01-01T07:45+02:00,2350,2364,85.99
2026-01-01T08:00+02:00,2127,3105,83.71
2026-01-01T08:15+02:00,2127,3105,75.27
2026-01-01T08:30+02:00,2127,3105,61.11
2026-01-01T08:45+02:00,2127,3105,48.81
2026-01-01T09:00+02:00,1646,5047,48.15
2026-01-01T09:15+02:00,1646,5047,43.09
2026-01-01T09:30+02:00,1646,5047,43.11
2026-01-01T09:45+02:00,1646,5047,37.41
2026-01-01T10:00+02:00,1264,6464,51.02
2026-01-01T10:15+02:00,1264,6464,46.16
2026-01-01T10:30+02:00,1264,6464,29.95
2026-01-01T10:45+02:00,1264,6464,10.25
2026-01-01T11:00+02:00,985,6608,15.1
2026-01-01T11:15+02:00,985,6608,24.85
2026-01-01T11:30+02:00,985,6608,22.27
2026-01-01T11:45+02:00,985,6608,10.23
2026-01-01T12:00+02:00,1002,6815,39.44
2026-01-01T12:15+02:00,1002,6815,21.09
2026-01-01T12:30+02:00,1002,6815,25.17
2026-01-01T12:45+02:00,1002,6815,20.28
2026-01-01T13:00+02:00,1055,6525,22.48
