TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);datetime;Μήνας
01/01/2026 01:15;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 01:15:00;2026-01
01/01/2026 01:30;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 01:30:00;2026-01
01/01/2026 01:45;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 01:45:00;2026-01
01/01/2026 02:00;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 02:00:00;2026-01
01/01/2026 02:15;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 02:15:00;2026-01
01/01/2026 02:30;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 02:30:00;2026-01
01/01/2026 02:45;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 02:45:00;2026-01
01/01/2026 03:00;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 03:00:00;2026-01
01/01/2026 03:15;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 03:15:00;2026-01
01/01/2026 03:30;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 03:30:00;2026-01
01/01/2026 03:45;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 03:45:00;2026-01
01/01/2026 04:00;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 04:00:00;2026-01
01/01/2026 04:15;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 04:15:00;2026-01
01/01/2026 04:30;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 04:30:00;2026-01
01/01/2026 04:45;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 04:45:00;2026-01
01/01/2026 05:00;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 05:00:00;2026-01
01/01/2026 05:15;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 05:15:00;2026-01
01/01/2026 05:30;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 05:30:00;2026-01
01/01/2026 05:45;GREEN_VALUE_BZ01_NDR_MS_N;16543;0.0;2026-01-01 05:45:00;2026-01
