TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);datetime;Μήνας
31/12/2025 00:15;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 00:15:00;2025-12
31/12/2025 00:30;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 00:30:00;2025-12
31/12/2025 00:45;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 00:45:00;2025-12
31/12/2025 01:00;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 01:00:00;2025-12
31/12/2025 01:15;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 01:15:00;2025-12
31/12/2025 01:30;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 01:30:00;2025-12
31/12/2025 01:45;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 01:45:00;2025-12
31/12/2025 02:00;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 02:00:00;2025-12
31/12/2025 02:15;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 02:15:00;2025-12
31/12/2025 02:30;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 02:30:00;2025-12
31/12/2025 02:45;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 02:45:00;2025-12
31/12/2025 03:00;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 03:00:00;2025-12
31/12/2025 03:15;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 03:15:00;2025-12
31/12/2025 03:30;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 03:30:00;2025-12
31/12/2025 03:45;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 03:45:00;2025-12
31/12/2025 04:00;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 04:00:00;2025-12
31/12/2025 04:15;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 04:15:00;2025-12
31/12/2025 04:30;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 04:30:00;2025-12
31/12/2025 04:45;GREEN_VALUE_BZ01_NDR_MS_N;29972;0.0;2025-12-31 04:45:00;2025-12
