TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);datetime;Μήνας
03/10/2025 00:15;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 00:15:00;2025-10
03/10/2025 00:30;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 00:30:00;2025-10
03/10/2025 00:45;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 00:45:00;2025-10
03/10/2025 01:00;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 01:00:00;2025-10
03/10/2025 01:15;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 01:15:00;2025-10
03/10/2025 01:30;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 01:30:00;2025-10
03/10/2025 01:45;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 01:45:00;2025-10
03/10/2025 02:00;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 02:00:00;2025-10
03/10/2025 02:15;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 02:15:00;2025-10
03/10/2025 02:30;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 02:30:00;2025-10
03/10/2025 02:45;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 02:45:00;2025-10
03/10/2025 03:00;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 03:00:00;2025-10
03/10/2025 03:15;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 03:15:00;2025-10
03/10/2025 03:30;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 03:30:00;2025-10
03/10/2025 03:45;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 03:45:00;2025-10
03/10/2025 04:00;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 04:00:00;2025-10
03/10/2025 04:15;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 04:15:00;2025-10
03/10/2025 04:30;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 04:30:00;2025-10
03/10/2025 04:45;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 04:45:00;2025-10
03/10/2025 05:00;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 05:00:00;2025-10
03/10/2025 05:15;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 05:15:00;2025-10
03/10/2025 05:30;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 05:30:00;2025-10
03/10/2025 05:45;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 05:45:00;2025-10
03/10/2025 06:00;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 06:00:00;2025-10
03/10/2025 06:15;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 06:15:00;2025-10
03/10/2025 06:30;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 06:30:00;2025-10
03/10/2025 06:45;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 06:45:00;2025-10
03/10/2025 07:00;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 07:00:00;2025-10
03/10/2025 07:15;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 07:15:00;2025-10
03/10/2025 07:30;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.0;2025-10-03 07:30:00;2025-10
03/10/2025 07:45;GREEN_VALUE_BZ01_NDR_MS_N;18170;0.46;2025-10-03 07:45:00;2025-10
03/10/2025 08:00;GREEN_VALUE_BZ01_NDR_MS_N;18170;3.38;2025-10-03 08:00:00;2025-10
03/10/2025 08:15;GREEN_VALUE_BZ01_NDR_MS_N;18170;12.4;2025-10-03 08:15:00;2025-10
03/10/2025 08:30;GREEN_VALUE_BZ01_NDR_MS_N;18170;11.46;2025-10-03 08:30:00;2025-10
03/10/2025 08:45;GREEN_VALUE_BZ01_NDR_MS_N;18170;6.22;2025-10-03 08:45:00;2025-10
03/10/2025 09:00;GREEN_VALUE_BZ01_NDR_MS_N;18170;34.34;2025-10-03 09:00:00;2025-10
03/10/2025 09:15;GREEN_VALUE_BZ01_NDR_MS_N;18170;43.34;2025-10-03 09:15:00;2025-10
03/10/2025 09:30;GREEN_VALUE_BZ01_NDR_MS_N;18170;50.74;2025-10-03 09:30:00;2025-10
03/10/2025 09:45;GREEN_VALUE_BZ01_NDR_MS_N;18170;58.08;2025-10-03 09:45:00;2025-10
