TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);Μήνας
01/07/2025 01:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 01:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 01:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 02:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 02:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 02:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 02:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 03:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 03:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 03:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 03:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 04:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 04:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 04:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 04:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 05:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 05:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 05:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 05:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 06:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-07
01/07/2025 06:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.042;2025-07
01/07/2025 06:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.24;2025-07
01/07/2025 06:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.545;2025-07
01/07/2025 07:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.846;2025-07
01/07/2025 07:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;1.127;2025-07
01/07/2025 07:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;1.559;2025-07
01/07/2025 07:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;2.268;2025-07
01/07/2025 08:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;3.197;2025-07
01/07/2025 08:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;4.294;2025-07
01/07/2025 08:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;5.541;2025-07
01/07/2025 08:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;6.824;2025-07
01/07/2025 09:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;8.137;2025-07
01/07/2025 09:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;9.432;2025-07
01/07/2025 09:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;10.71;2025-07
01/07/2025 09:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;11.898;2025-07
01/07/2025 10:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;12.973;2025-07
01/07/2025 10:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;14.047;2025-07
01/07/2025 10:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;15.052;2025-07
01/07/2025 10:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;16.061;2025-07
01/07/2025 11:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;16.897;2025-07
01/07/2025 11:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;17.733;2025-07
01/07/2025 11:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;18.449;2025-07
01/07/2025 11:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;19.114;2025-07
01/07/2025 12:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;19.595;2025-07
01/07/2025 12:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;20.209;2025-07
01/07/2025 12:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;20.593;2025-07
01/07/2025 12:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;20.674;2025-07
01/07/2025 13:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;21.017;2025-07
01/07/2025 13:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;21.053;2025-07
01/07/2025 13:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;21.168;2025-07
01/07/2025 13:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;21.445;2025-07
01/07/2025 14:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;21.558;2025-07
01/07/2025 14:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;21.037;2025-07
01/07/2025 14:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;20.989;2025-07
01/07/2025 14:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;15.274;2025-07
