TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);Μήνας
01/07/2025 01:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 01:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 01:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 02:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 02:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 02:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 02:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 03:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 03:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 03:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 03:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 04:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 04:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 04:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 04:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 05:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 05:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 05:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 05:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 06:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.0;2025-07
01/07/2025 06:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;0.08;2025-07
01/07/2025 06:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;1.04;2025-07
01/07/2025 06:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;6.38;2025-07
01/07/2025 07:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;17.58;2025-07
01/07/2025 07:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;20.76;2025-07
01/07/2025 07:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;34.04;2025-07
01/07/2025 07:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;36.62;2025-07
01/07/2025 08:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;51.68;2025-07
01/07/2025 08:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;66.92;2025-07
01/07/2025 08:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;75.94;2025-07
01/07/2025 08:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;81.74;2025-07
01/07/2025 09:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;86.5;2025-07
01/07/2025 09:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;90.04;2025-07
01/07/2025 09:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;93.26;2025-07
01/07/2025 09:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;96.28;2025-07
01/07/2025 10:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;98.46;2025-07
01/07/2025 10:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;99.62;2025-07
01/07/2025 10:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;101.1;2025-07
01/07/2025 10:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;102.12;2025-07
01/07/2025 11:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;102.98;2025-07
01/07/2025 11:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;104.08;2025-07
01/07/2025 11:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;105.78;2025-07
01/07/2025 11:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;105.52;2025-07
01/07/2025 12:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;98.12;2025-07
01/07/2025 12:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;41.72;2025-07
01/07/2025 12:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;33.6;2025-07
01/07/2025 12:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;48.0;2025-07
01/07/2025 13:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;65.24;2025-07
01/07/2025 13:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;48.28;2025-07
01/07/2025 13:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;39.62;2025-07
01/07/2025 13:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;49.58;2025-07
01/07/2025 14:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;85.52;2025-07
01/07/2025 14:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;43.72;2025-07
01/07/2025 14:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;36.72;2025-07
01/07/2025 14:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;28.92;2025-07
01/07/2025 15:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;53.06;2025-07
01/07/2025 15:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;25.42;2025-07
01/07/2025 15:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;83.52;2025-07
01/07/2025 15:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;52.36;2025-07
01/07/2025 16:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;26.82;2025-07
01/07/2025 16:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;61.86;2025-07
01/07/2025 16:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;45.94;2025-07
01/07/2025 16:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;58.94;2025-07
01/07/2025 17:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;79.66;2025-07
01/07/2025 17:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;99.54;2025-07
01/07/2025 17:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;95.46;2025-07
01/07/2025 17:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;86.92;2025-07
01/07/2025 18:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;74.3;2025-07
01/07/2025 18:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;85.06;2025-07
01/07/2025 18:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;81.8;2025-07
01/07/2025 18:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;73.42;2025-07
01/07/2025 19:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;69.54;2025-07
01/07/2025 19:15;GREEN_VALUE_BZ01_NDR_MS_N;19625;52.06;2025-07
01/07/2025 19:30;GREEN_VALUE_BZ01_NDR_MS_N;19625;36.86;2025-07
01/07/2025 19:45;GREEN_VALUE_BZ01_NDR_MS_N;19625;31.64;2025-07
01/07/2025 20:00;GREEN_VALUE_BZ01_NDR_MS_N;19625;23.2;2025-07
