TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);Μήνας
01/07/2025 01:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 01:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 01:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 02:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 02:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 02:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 02:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 03:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 03:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 03:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 03:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 04:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 04:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 04:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 04:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 05:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 05:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 05:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 05:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 06:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 06:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 06:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;1.68;2025-07
01/07/2025 06:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;5.22;2025-07
01/07/2025 07:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;10.8;2025-07
01/07/2025 07:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;38.1;2025-07
01/07/2025 07:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;52.89;2025-07
01/07/2025 07:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;63.66;2025-07
01/07/2025 08:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;77.76;2025-07
01/07/2025 08:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;125.46;2025-07
01/07/2025 08:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;145.62;2025-07
01/07/2025 08:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;156.3;2025-07
01/07/2025 09:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;163.89;2025-07
01/07/2025 09:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;170.58;2025-07
01/07/2025 09:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;176.28;2025-07
01/07/2025 09:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;180.06;2025-07
01/07/2025 10:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;183.12;2025-07
01/07/2025 10:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;185.07;2025-07
01/07/2025 10:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;185.97;2025-07
01/07/2025 10:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;186.48;2025-07
01/07/2025 11:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;187.32;2025-07
01/07/2025 11:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;188.52;2025-07
01/07/2025 11:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;190.26;2025-07
01/07/2025 11:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;192.72;2025-07
01/07/2025 12:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;191.22;2025-07
01/07/2025 12:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;191.25;2025-07
01/07/2025 12:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;191.34;2025-07
01/07/2025 12:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;192.06;2025-07
01/07/2025 13:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;191.88;2025-07
01/07/2025 13:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;193.23;2025-07
01/07/2025 13:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;194.19;2025-07
01/07/2025 13:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;196.56;2025-07
01/07/2025 14:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;197.76;2025-07
01/07/2025 14:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;196.02;2025-07
01/07/2025 14:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;195.09;2025-07
01/07/2025 14:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;198.78;2025-07
01/07/2025 15:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;198.42;2025-07
01/07/2025 15:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;195.9;2025-07
01/07/2025 15:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;197.28;2025-07
01/07/2025 15:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;195.54;2025-07
01/07/2025 16:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;193.38;2025-07
01/07/2025 16:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;191.31;2025-07
01/07/2025 16:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;186.21;2025-07
01/07/2025 16:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;184.62;2025-07
01/07/2025 17:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;182.1;2025-07
01/07/2025 17:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;175.41;2025-07
01/07/2025 17:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;176.19;2025-07
01/07/2025 17:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;171.75;2025-07
01/07/2025 18:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;167.55;2025-07
01/07/2025 18:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;162.57;2025-07
01/07/2025 18:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;154.65;2025-07
01/07/2025 18:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;143.76;2025-07
01/07/2025 19:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;133.11;2025-07
01/07/2025 19:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;95.61;2025-07
01/07/2025 19:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;70.17;2025-07
01/07/2025 19:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;60.51;2025-07
01/07/2025 20:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;48.6;2025-07
01/07/2025 20:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;22.89;2025-07
01/07/2025 20:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;9.45;2025-07
01/07/2025 20:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;4.17;2025-07
01/07/2025 21:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.69;2025-07
01/07/2025 21:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 21:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 21:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 22:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 22:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 22:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 22:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 23:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 23:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 23:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
01/07/2025 23:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 00:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 00:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 00:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 00:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 01:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 01:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 01:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 01:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 02:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 02:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 02:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 02:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 03:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 03:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 03:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 03:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 04:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 04:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 04:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 04:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 05:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 05:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 05:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 05:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 06:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 06:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.0;2025-07
02/07/2025 06:30;GREEN_VALUE_BZ01_NDR_MS_N;18419;0.96;2025-07
02/07/2025 06:45;GREEN_VALUE_BZ01_NDR_MS_N;18419;4.11;2025-07
02/07/2025 07:00;GREEN_VALUE_BZ01_NDR_MS_N;18419;7.71;2025-07
02/07/2025 07:15;GREEN_VALUE_BZ01_NDR_MS_N;18419;25.74;2025-07
