TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);datetime;Μήνας
03/10/2025 00:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 00:15:00;2025-10
03/10/2025 00:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 00:30:00;2025-10
03/10/2025 00:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 00:45:00;2025-10
03/10/2025 01:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 01:00:00;2025-10
03/10/2025 01:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 01:15:00;2025-10
03/10/2025 01:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 01:30:00;2025-10
03/10/2025 01:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 01:45:00;2025-10
03/10/2025 02:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 02:00:00;2025-10
03/10/2025 02:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 02:15:00;2025-10
03/10/2025 02:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 02:30:00;2025-10
03/10/2025 02:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 02:45:00;2025-10
03/10/2025 03:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 03:00:00;2025-10
03/10/2025 03:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 03:15:00;2025-10
03/10/2025 03:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 03:30:00;2025-10
03/10/2025 03:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 03:45:00;2025-10
03/10/2025 04:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 04:00:00;2025-10
03/10/2025 04:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 04:15:00;2025-10
03/10/2025 04:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 04:30:00;2025-10
03/10/2025 04:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 04:45:00;2025-10
03/10/2025 05:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 05:00:00;2025-10
03/10/2025 05:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 05:15:00;2025-10
03/10/2025 05:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 05:30:00;2025-10
03/10/2025 05:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 05:45:00;2025-10
03/10/2025 06:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 06:00:00;2025-10
03/10/2025 06:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 06:15:00;2025-10
03/10/2025 06:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 06:30:00;2025-10
03/10/2025 06:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 06:45:00;2025-10
03/10/2025 07:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 07:00:00;2025-10
03/10/2025 07:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 07:15:00;2025-10
03/10/2025 07:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 07:30:00;2025-10
03/10/2025 07:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.28;2025-10-03 07:45:00;2025-10
03/10/2025 08:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;1.2;2025-10-03 08:00:00;2025-10
03/10/2025 08:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;6.1;2025-10-03 08:15:00;2025-10
03/10/2025 08:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;12.68;2025-10-03 08:30:00;2025-10
03/10/2025 08:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;26.42;2025-10-03 08:45:00;2025-10
03/10/2025 09:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;18.64;2025-10-03 09:00:00;2025-10
03/10/2025 09:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;6.56;2025-10-03 09:15:00;2025-10
03/10/2025 09:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;12.14;2025-10-03 09:30:00;2025-10
03/10/2025 09:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;16.46;2025-10-03 09:45:00;2025-10
03/10/2025 10:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;52.04;2025-10-03 10:00:00;2025-10
03/10/2025 10:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;62.64;2025-10-03 10:15:00;2025-10
03/10/2025 10:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;67.26;2025-10-03 10:30:00;2025-10
03/10/2025 10:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;72.3;2025-10-03 10:45:00;2025-10
03/10/2025 11:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;78.9;2025-10-03 11:00:00;2025-10
03/10/2025 11:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;83.58;2025-10-03 11:15:00;2025-10
03/10/2025 11:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;94.12;2025-10-03 11:30:00;2025-10
03/10/2025 11:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;66.96;2025-10-03 11:45:00;2025-10
03/10/2025 12:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;100.04;2025-10-03 12:00:00;2025-10
03/10/2025 12:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;44.78;2025-10-03 12:15:00;2025-10
03/10/2025 12:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;78.52;2025-10-03 12:30:00;2025-10
03/10/2025 12:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;25.26;2025-10-03 12:45:00;2025-10
03/10/2025 13:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;43.74;2025-10-03 13:00:00;2025-10
03/10/2025 13:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;56.58;2025-10-03 13:15:00;2025-10
03/10/2025 13:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;57.6;2025-10-03 13:30:00;2025-10
03/10/2025 13:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;93.5;2025-10-03 13:45:00;2025-10
03/10/2025 14:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;101.82;2025-10-03 14:00:00;2025-10
03/10/2025 14:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;95.52;2025-10-03 14:15:00;2025-10
03/10/2025 14:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;57.64;2025-10-03 14:30:00;2025-10
03/10/2025 14:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;73.32;2025-10-03 14:45:00;2025-10
03/10/2025 15:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;81.72;2025-10-03 15:00:00;2025-10
03/10/2025 15:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;53.9;2025-10-03 15:15:00;2025-10
03/10/2025 15:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;24.4;2025-10-03 15:30:00;2025-10
03/10/2025 15:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;30.8;2025-10-03 15:45:00;2025-10
03/10/2025 16:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;49.28;2025-10-03 16:00:00;2025-10
03/10/2025 16:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;50.82;2025-10-03 16:15:00;2025-10
03/10/2025 16:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;68.78;2025-10-03 16:30:00;2025-10
03/10/2025 16:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;64.18;2025-10-03 16:45:00;2025-10
03/10/2025 17:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;34.88;2025-10-03 17:00:00;2025-10
03/10/2025 17:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;10.5;2025-10-03 17:15:00;2025-10
03/10/2025 17:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;36.26;2025-10-03 17:30:00;2025-10
03/10/2025 17:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;18.42;2025-10-03 17:45:00;2025-10
03/10/2025 18:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;19.42;2025-10-03 18:00:00;2025-10
03/10/2025 18:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;13.48;2025-10-03 18:15:00;2025-10
03/10/2025 18:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;4.0;2025-10-03 18:30:00;2025-10
03/10/2025 18:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;1.7;2025-10-03 18:45:00;2025-10
03/10/2025 19:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.6;2025-10-03 19:00:00;2025-10
03/10/2025 19:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 19:15:00;2025-10
03/10/2025 19:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 19:30:00;2025-10
03/10/2025 19:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 19:45:00;2025-10
03/10/2025 20:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 20:00:00;2025-10
03/10/2025 20:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 20:15:00;2025-10
03/10/2025 20:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 20:30:00;2025-10
03/10/2025 20:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 20:45:00;2025-10
03/10/2025 21:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 21:00:00;2025-10
03/10/2025 21:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 21:15:00;2025-10
03/10/2025 21:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 21:30:00;2025-10
03/10/2025 21:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 21:45:00;2025-10
03/10/2025 22:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 22:00:00;2025-10
03/10/2025 22:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 22:15:00;2025-10
03/10/2025 22:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 22:30:00;2025-10
03/10/2025 22:45;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 22:45:00;2025-10
03/10/2025 23:00;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 23:00:00;2025-10
03/10/2025 23:15;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 23:15:00;2025-10
03/10/2025 23:30;GREEN_VALUE_BZ01_NDR_MS_N;19580;0.0;2025-10-03 23:30:00;2025-10
